formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Al2 Na2 O12 Si4,4,0.0,0.1,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,-1.6,2.51,0.9427,1.2,0.3937,1.0,0.4899,True,monoclinic,2/m,15,10.433,3.2173,0.8201
Pt4 Sc8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6667,0.92,0.4337,0.25,0.1179,2.0,0.9428,True,orthorhombic,mmm,62,20.5972,7.6588,0.5476
C1 Ca1 N2,3,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.04,0.8369,1.15,0.4912,2.0,0.866,True,trigonal,-3m,166,14.8651,2.237,1.0
O12 Sr4 Tb4,3,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,-0.2,3.44,1.4833,1.4,0.6296,6.0,2.4,True,orthorhombic,mmm,62,16.1899,6.042,0.7035
Ca6 N4,2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.04,0.9994,1.15,0.5634,2.0,0.9798,True,hexagonal,6/mmm,194,17.4259,2.8253,0.2943
S2 Ta1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.08,0.5091,0.45,0.2121,3.0,1.4142,True,orthorhombic,mm2,42,37.0647,3.6599,0.2878
Cu2 Fe4 Ge4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,-0.4,0.18,0.0809,0.15,0.0678,0.0,0.0,True,orthorhombic,mmm,51,13.3351,7.9824,0.5857
O6 Pb2 S2,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1.11,0.489,1.2,0.4665,4.0,1.5492,True,monoclinic,2/m,11,15.4013,6.1944,0.7015
Al4 I12,2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.4547,0.15,0.065,2.0,0.866,True,monoclinic,2/m,14,52.8162,3.2045,0.5207
Cl3 H12 N5 O1 Os1,5,0.0,0.0,0.0,0.0455,0.1364,0.0,0.0,0.0,0.0,0.0455,-1.2727,1.24,0.4614,1.05,0.3206,5.0,1.1651,True,tetragonal,4mm,107,11.4569,2.6004,1.0
La2 Mn2 O6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,2.34,1.0459,1.35,0.5546,6.0,2.3324,True,trigonal,-3m,167,12.4661,6.4429,1.0
Al20 Ge4 O38,3,0.0,0.0,0.0,0.6129,0.0,0.0,0.0645,0.0,0.0,0.0,-0.5161,1.83,0.8639,0.65,0.3166,2.0,0.6138,True,orthorhombic,mm2,36,11.5485,3.3354,0.3772
Br24 Mo12,2,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.6667,0.8,0.3771,0.3,0.1414,1.0,0.4714,True,orthorhombic,mmm,64,32.5408,4.3502,0.8291
Cu2 K4 Nb2 Se8,4,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.125,1.73,0.7168,1.05,0.4316,1.0,0.3307,True,orthorhombic,mmm,70,30.3267,3.7678,0.4611
